model_folder,encode_length,seed,lr,epochs,total_loss,location_MSE,location_MAE,type_loss,hidden_size,batch_size
./model\DyMF_16_2025-12-05-07-33-10,16,123,0.001,100,26.2619,17.9828,6.035,2.2441,16,32
./model\DyMF_16_2025-12-05-07-52-56,16,834,0.001,100,24.5124,16.9055,5.3573,2.2496,16,32
./model\DyMF_4_2025-12-05-06-53-02,4,42,0.001,100,36.3079,27.5034,6.5482,2.2563,16,32
./model\DyMF_4_2025-12-05-07-43-19,4,123,0.001,100,20.5316,13.6858,4.652,2.1938,16,32
./model\DyMF_6_2025-12-05-06-57-11,6,56,0.001,100,33.3204,24.6661,6.3066,2.3476,16,32
./model\DyMF_6_2025-12-05-07-46-28,6,765,0.001,100,21.9449,14.8189,4.7822,2.3439,16,32
./model\DyMF_8_2025-12-05-07-00-27,8,887,0.001,100,15.0165,8.5827,4.0,2.4338,16,32
./model\DyMF_8_2025-12-05-07-49-36,8,953,0.001,100,44.4361,34.4453,7.5725,2.4184,16,32
